ARTICUL,NAME,SEX,COLOR,SEASON,OUTSIDE,INSIDE,PRICE,SALE,IMG
220706_1,Лофери жіночі,жіноче,чорний,весна-осінь,Замша натуральна,Натуральна телятина,2400,0,https://i.ibb.co/DtyL6FV/jpeg220706-1.jpg
220702_1,Лофери жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2400,0,https://i.ibb.co/nQqFY96/jpeg220702-1.jpg
220902_4,Балетки жіночі,жіноче,бежевий,літо,Лицьова шкіра натуральна,Натуральна телятина,2100,0,https://i.ibb.co/WzdRhjD/jpeg220902-4.jpg
220902_1,Балетки жіночі,жіноче,чорний,літо,Лицьова шкіра натуральна,Натуральна телятина,2100,0,https://i.ibb.co/XSPzRkq/jpeg220902-1.jpg
396716_5,Кросівки жіночі,жіноче,сірий,літо,Лицьова шкіра+замша+сітка,Сітка,2400,0,https://i.ibb.co/27ky7c4/jpeg396716-5.jpg
397316_4,Кросівки жіночі,жіноче,чорний+молоко,весна-осінь,Лицьова шкіра+замша,Натуральна телятина,2400,0,https://i.ibb.co/X80ymsh/jpeg397316-4.jpg
220806_4,Лофери жіночі,жіноче,пісок,весна-осінь,Замша натуральна,Натуральна телятина,2600,0,https://i.ibb.co/fHbkGy5/jpeg220806-4.jpg
396716_1,Кросівки жіночі,жіноче,чорний,літо,Лицьова шкіра+замша+сітка,Сітка,2400,0,https://i.ibb.co/3z0KVCz/jpeg396716-1.jpg
396802_4,Кросівки жіночі,жіноче,бежевий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/VHxgfSQ/jpeg396802-4.jpg
396802_3,Кросівки жіночі,жіноче,білий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/dpF2XLd/jpeg396802-3.jpg
396116_1,Кеди жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра+замша,Натуральна телятина,2900,0,https://i.ibb.co/86w9F8s/jpeg396116-1.jpg
396402_1,Кросівки жіночі,жіноче,чорний,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/0qM0QmM/jpeg396402-1.jpg" 
396402_3,Кросівки жіночі,жіноче,білий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/1L5r4yn/jpeg396402-3.jpg
396402_4,Кросівки жіночі,жіноче,бежевий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/wRXgV2N/jpeg396402-4.jpg
396302_4,Кеди жіночі,жіноче,бежевий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/yVfF6pk/jpeg396302-4.jpg
396302_3,Кеди жіночі,жіноче,білий,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/7kcq3Kd/jpeg396302-3.jpg
396302_1,Кеди жіночі,жіноче,чорний,літо,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/YTFq8Dv/jpeg396302-1.jpg
396502_4,Кеди жіночі,жіноче,бежевий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/M2BMR7v/jpeg396502-4.jpg
396502_3,Кеди жіночі,жіноче,білий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/XZqGnCJ/jpeg396502-3.jpg
396502_1,Кеди жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/gd6j6qx/jpeg396502-1.jpg
395815_10,Кросівки жіночі,жіноче,чорний,весна-осінь,Натуральна шкіра тайфун,Натуральна телятина,3200,0,https://i.ibb.co/vVyGyQk/jpeg395815-10.jpg
396616_1,Кросівки жіночі,жіноче,чорний,літо,Лицьова шкіра+сітка,Сітка,2200,0,https://i.ibb.co/rx4pwQ9/jpeg396616-1.jpg
395833_7,Кросівки жіночі,жіноче,чорний,весна-осінь,Натуральний наплак,Натуральна телятина,3200,0,https://i.ibb.co/BG2DCrz/jpeg395833-7.jpg
395802_4,Кросівки жіночі,жіноче,бежевий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/bWgRC0t/jpeg395802-4.jpg
395802_3,Кросівки жіночі,жіноче,білий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/MGNL2Jr/jpeg395802-3.jpg
395802_1,Кросівки жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/WKp8Sb3/jpeg395802-1.jpg
397016_3,Кросівки жіночі,жіноче,білий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/fvy62SX/jpeg397016-3.jpg
394702_31,Кросівки жіночі,жіноче,білий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,0,https://i.ibb.co/GJ1dkns/jpeg394702-31.jpg
220401_4,Туфлі жіночі,жіноче,бежевий,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,2000,https://i.ibb.co/Y7J6zrR/jpeg220401-4.jpg
220401_1,Туфлі жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2800,2000,https://i.ibb.co/KKx3yVL/jpeg220401-1.jpg
395616_11,Кросівки жіночі,жіноче,білий+чорний+фуксія,весна-осінь,Лицьова шкіра+замша,Натуральна телятина,3000,0,https://i.ibb.co/D1fzWv5/jpeg395616-11.jpg
395716_5,Кросівки жіночі,жіноче,білий+чорний+сірий,весна-осінь,Лицьова шкіра+замша,Натуральна телятина,3000,0,https://i.ibb.co/5hWyD93/jpeg395716-5.jpg
393202_1,Кеди жіночі,жіноче,чорний,весна-осінь,Лицьова шкіра натуральна,Натуральна телятина,2700,0,https://i.ibb.co/Jcd0tbD/jpeg393202-1.jpg
250502_1,Сандалі жіночі,жіноче,чорний,літо,Лицьова шкіра натуральна,Натуральна телятина,2100,0,https://i.ibb.co/0QXy4Tm/jpeg250502-1.jpg
197316_5,Кросівки чоловічі,комфорт,чорний+сірий+білий,літо,Лицьова шкіра+сітка,Сітка,2600,0,https://i.ibb.co/zftWXKT/jpeg197316-5.jpg
197302_1,Кросівки чоловічі,комфорт,чорний,літо,Лицьова шкіра+сітка,Сітка,2600,0,https://i.ibb.co/kXvJTV3/jpeg197302-1.jpg
197206_5,Кеди чоловічі,комфорт,сірий,літо,Замша натуральна+сітка,Сітка,2600,0,https://i.ibb.co/HzhSgcB/jpeg197206-5.jpg
197202_1,Кеди чоловічі,комфорт,чорний,літо,Лицьова шкіра+сітка,Сітка,2600,0,https://i.ibb.co/4VFCN66/jpeg197202-1.jpg